,cases,tests,date
0,366,40800,2021-09-01
1,390,39200,2021-09-02
2,349,36500,2021-09-03
3,389,41100,2021-09-04
4,324,30100,2021-09-05
5,183,21300,2021-09-06
6,406,44300,2021-09-07
7,533,39900,2021-09-08
8,510,37700,2021-09-09
9,528,39000,2021-09-10
10,530,42400,2021-09-11
11,476,30700,2021-09-12
12,269,22400,2021-09-13
13,537,45500,2021-09-14
14,767,42800,2021-09-15
15,722,40800,2021-09-16
16,652,35900,2021-09-17
17,797,42900,2021-09-18
18,540,30900,2021-09-19
19,363,22300,2021-09-20
20,711,45300,2021-09-21
21,882,42300,2021-09-22
22,974,41700,2021-09-23
23,813,39900,2021-09-24
24,917,42300,2021-09-25
25,643,17700,2021-09-26
26,421,21300,2021-09-27
27,975,46800,2021-09-28
28,1234,45800,2021-09-29
29,1208,39400,2021-09-30
30,1362,42800,2021-10-01
31,1344,42300,2021-10-02
32,1090,30100,2021-10-03
33,684,21500,2021-10-04
34,1325,44600,2021-10-05
35,2085,43600,2021-10-06
36,2007,41100,2021-10-07
37,1895,38400,2021-10-08
38,2012,39300,2021-10-09
39,1527,25800,2021-10-10
40,903,21200,2021-10-11
41,2118,42800,2021-10-12
42,2640,44800,2021-10-13
43,3000,44800,2021-10-14
44,2771,39800,2021-10-15
45,3236,43600,2021-10-16
46,2523,28600,2021-10-17
47,1537,22300,2021-10-18
48,3931,49400,2021-10-19
49,5559,51000,2021-10-20
50,5592,49600,2021-10-21
51,5706,49500,2021-10-22
52,6274,51900,2021-10-23
53,4728,33700,2021-10-24
54,2950,25500,2021-10-25
55,6265,56600,2021-10-26
56,8361,58800,2021-10-27
57,8378,58800,2021-10-28
58,9387,59100,2021-10-29
59,9798,59900,2021-10-30
60,7145,37700,2021-10-31
61,4894,29000,2021-11-01
62,4514,27900,2021-11-02
63,10429,68300,2021-11-03
64,15515,78700,2021-11-04
65,15904,78600,2021-11-05
66,15190,77900,2021-11-06
67,12493,54700,2021-11-07
68,7316,37200,2021-11-08
69,13644,76000,2021-11-09
70,18550,84300,2021-11-10
71,19074,85300,2021-11-11
72,12965,49300,2021-11-12
73,14292,68900,2021-11-13
74,14442,54800,2021-11-14
75,9512,40900,2021-11-15
76,16590,82700,2021-11-16
77,24239,96800,2021-11-17
78,24882,99500,2021-11-18
79,23242,93700,2021-11-19
80,23414,95400,2021-11-20
81,18883,67300,2021-11-21
82,12334,48500,2021-11-22
83,19936,91000,2021-11-23
84,28380,107100,2021-11-24
85,28128,110900,2021-11-25
86,26735,105600,2021-11-26
87,26182,105100,2021-11-27
88,20576,71500,2021-11-28
89,13115,51100,2021-11-29
90,19074,92700,2021-11-30
91,29064,114100,2021-12-01
92,27356,109000,2021-12-02
93,26965,107900,2021-12-03
94,25576,105900,2021-12-04
95,22389,78500,2021-12-05
96,13250,52200,2021-12-06
97,19366,95000,2021-12-07
98,28542,115000,2021-12-08
99,27458,111600,2021-12-09
100,24991,107600,2021-12-10
101,23764,104300,2021-12-11
102,19452,74600,2021-12-12
103,11379,50200,2021-12-13
104,17460,93700,2021-12-14
105,24266,109500,2021-12-15
106,22097,103900,2021-12-16
107,20027,101800,2021-12-17
108,19397,102200,2021-12-18
109,15976,72600,2021-12-19
110,9609,55000,2021-12-20
111,13806,93200,2021-12-21
112,18021,101700,2021-12-22
113,17156,97800,2021-12-23
114,15392,89600,2021-12-24
115,10788,57300,2021-12-25
116,6252,38300,2021-12-26
117,5029,42100,2021-12-27
118,9843,88400,2021-12-28
119,15571,101500,2021-12-29
120,14325,95600,2021-12-30
121,13601,92900,2021-12-31
122,12032,78900,2022-01-01
123,7179,50700,2022-01-02
124,6422,55700,2022-01-03
125,11670,104100,2022-01-04
126,17196,112900,2022-01-05
127,16576,105400,2022-01-06
128,11902,64599,2022-01-07
129,10900,81200,2022-01-08
130,11106,71100,2022-01-09
131,7785,54700,2022-01-10
132,11406,92400,2022-01-11
133,16173,99400,2022-01-12
134,16878,96800,2022-01-13
135,16047,93000,2022-01-14
136,16896,103700,2022-01-15
137,14667,72900,2022-01-16
138,10445,56000,2022-01-17
139,19652,100500,2022-01-18
140,30586,122300,2022-01-19
141,32835,125000,2022-01-20
142,36665,135300,2022-01-21
143,40876,150900,2022-01-22
144,34088,111200,2022-01-23
145,29100,97400,2022-01-24
146,36995,141800,2022-01-25
147,53420,173400,2022-01-26
148,57659,179400,2022-01-27
149,57262,178300,2022-01-28
150,51695,176100,2022-01-29
151,48251,143700,2022-01-30
152,33480,106600,2022-01-31
153,39114,144300,2022-02-01
154,56051,179800,2022-02-02
155,54477,175100,2022-02-03
156,47534,164100,2022-02-04
157,45749,162800,2022-02-05
158,34703,117100,2022-02-06
159,24404,82800,2022-02-07
160,35960,138500,2022-02-08
161,46872,155600,2022-02-09
162,42095,143500,2022-02-10
163,35777,132300,2022-02-11
164,31331,122900,2022-02-12
165,22070,84700,2022-02-13
166,13473,63800,2022-02-14
167,22267,108400,2022-02-15
168,28859,116300,2022-02-16
169,29229,124500,2022-02-17
170,23990,107000,2022-02-18
171,20902,102000,2022-02-19
172,13687,65600,2022-02-20
173,9589,51900,2022-02-21
174,18792,103100,2022-02-22
175,20456,99600,2022-02-23
176,18282,92400,2022-02-24
177,16724,85700,2022-02-25
178,13960,78000,2022-02-26
179,8902,49800,2022-02-27
180,6564,42700,2022-02-28
181,12984,85900,2022-03-01
182,14737,84200,2022-03-02
183,14068,81000,2022-03-03
184,12483,74300,2022-03-04
185,12737,74400,2022-03-05
186,7697,46800,2022-03-06
187,5585,40900,2022-03-07
188,13152,85300,2022-03-08
189,14415,82000,2022-03-09
190,13438,80500,2022-03-10
191,11637,73100,2022-03-11
192,11116,67900,2022-03-12
193,5298,39300,2022-03-14
194,12695,86900,2022-03-15
195,14480,84700,2022-03-16
196,12274,77800,2022-03-17
197,11660,71600,2022-03-18
198,10379,67500,2022-03-19
199,5696,40600,2022-03-20
200,4165,35800,2022-03-21
201,10149,77500,2022-03-22
202,10437,73600,2022-03-23
203,8994,86300,2022-03-24
204,8241,64700,2022-03-25
205,6633,57900,2022-03-26
206,3494,34700,2022-03-27
207,2368,31100,2022-03-28
208,6608,66400,2022-03-29
